"ID_GROUPES_PATIENT","NOM","DESCRIPTION_FR","DESCRIPTION_EN","REMARQUES_FR","REMARQUES_EN",,,,,
490,"2174-1","Sujets allergiques à la carotte (TPODA)","Subjects allergic to carrot (DBOFC)",,,,,,,
491,"2176-1","Sujets allergiques au latex et positifs pour rHev b 8","Subjects allergic to latex and + for rHev b 8",,,,,,,
492,"2177-1","Patient allergique au sésame","A patient allergic to sesame",,,,,,,
493,"2178-1","Pollinose armoise","Mugwort pollinosis",,,,,,,
494,"2182-1","Une infirmière allergique au latex et présentant des réactions alimentaires avec les Drupacées","A nurse allergic to latex presenting with food reaction to Drupaceae",,,,,,,
495,"2183-1","Histoire d'allergie aux poissons avec RAST+","A history of allergy to fish with a +RAST",,,,,,,
496,"2184-1",,,"Données inexploitables","Data inexploitable",,,,,
497,"2185-1","Allergie au saumon","Allergy to salmon",,,,,,,
498,"2187-1","Allergiques au céleri avec TC positifs bouleau et/ou armoise","Subjects allergic to celery with +ST to birch and/or mugwort",,,,,,,
499,"2191-1","1 patients allergique aux fromages de chèvre et de brebis sans allergie au lait de vache","One patient allergic to goat and sheep cheeses without allergy to cow's milk",,,,,,,
500,"2192-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
501,"2199-1","Allergie aux pignons de pin chez un patient présentant un syndrome œuf-oiseaux","Allergy to pine seeds in a patient presenting an egg-bird syndrome",,,,,,,
502,"2201-1","Sensibilisation professionnelle à la farine d'épeautre","Occupational allergy to spelt flour",,,,,,,
503,"2221-1","Fermiers avec TC+ Tetranychus urticae ou Panonychus ulmi et RAST+ D ptero","Farmers with A +ST to Tetrenychus urticae or Panonychus ulmi and RAST+ to D. ptero",,,,,,,
504,"2226-1","Patients allergiques à l'amande et polliniques au bouleau","Patients allergic to almond and who have birch pollinosis",,,,,,,
505,"2227-1","Patients allergiques à la pistache","Patients allergic to pistachio",,,,,,,
506,"2275-1","Patient allergique au latex et au sarrasin","A patient allergic to latex and buckwheat",,,,,,,
507,"2293-1","Patients allergiques à la tomate et sensibilisés (ou allergiques) au latex","Patients allergic to tomato and sensitized (or allergic) to latex",,,,,,,
508,"2297-1","Patient avec sensibilisation professionnelle à Bombus terrestris","A patient with occupational allergy to Bombus terrestris",,,,,,,
509,"2297-2","Patient avec sensibilisation Bombus pennsylvatica","A patient with sensitivity to Bombus pennsylvatica",,,,,,,
510,"2362-1","Patients avec asthme du boulanger","Patients with baker's asthma",,,,,,,
511,"2384-1","Patients ""sensibilisés"" à l'arachide ou à la pistache ou à la noisette ou à la noix de cajou","Patients ""sensitized"" to peanut or pistachio or hazelnut or cashew nut",,,,,,,
512,"2473-1","Sujets CAP positifs pour Vespula et abeille","Subjects CAP+ for Vespula and bee",,,,,,,
513,"2638-1","Sujets allergiques à la noisette et polliniques (platane, graminées)","Subjects allergic to hazelnut and with pollinosis (platanus, grasses)",,,,,,,
514,"2645-1","Sujets polliniques (platane, graminées) allergiques à la cerise","Subjects with pollinosis (platanus, grasses) and allergy to cherries",,,,,,,
515,"2666-1","Patients avec rhinite/asthme et IgE+ pour rPlo i","Patients with rhinitis/asthma and +IgE for rPlo i",,,,,,,
516,"2677-1","Patient avec ABPA et ""sensibilisé"" à Aspergillus","A patient with ABPA and ""sensitivity"" to Aspergillus",,,,,,,
517,"2700-1","2 enfants non allergiques au lait de vache ayant fait des réactions à des produits laitiers issus du lait de chèvre","Two children not allergic to cow's milk who have had reactions to food products made from goat's milk",,,,,,,
518,"2753-1",,,"Manquent détails (résumé possésé seulement)","Details missing (only the abstract available)",,,,,
519,"2755-1","Sujets TC positifs pour Cladosporium, Aspergillus et/ou Alternaria","Subjects ST+ for Cladosporium, Aspergillus and/or Alternaria",,,,,,,
520,"2756-1","Sérum d'un sujet positif in vitro pour rJun o 4 et rAln g 4","Serum of a subject + in vitro for rJuno 4 and rAln g 4",,,,,,,
521,"2757-1","Polliniques aux graminées","Subjects with grass pollinosis",,,,,,,
522,"2761-1","Patients polliniques aux graminées","Patients with grass pollinosis",,,,,,,
523,"2762-1","Patients allergiques à l'ambroisie","Patients allergic to ragweed",,,,,,,
524,"2763-1","Sujets avec un TC positif pour diverses graminées tempérées et tropicales","Subjects with a +ST for various temperate and tropical grasses",,,,,,,
525,"2765-1","Sujets polliniques aux graminées et positifs pour le pollen de seigle","Subjects with grass pollinosis and positive for rye pollen",,,,,,,
526,"2766-1",,,"Manquent détails (résumé possésé seulement)","Details missing (only the abstract available)",,,,,
527,"2769-1","Sujets positifs pour différentes Oléacées","Subjects positive for various Oleaceae",,,,,,,
528,"2872-1","Pollinose à l'olivier et au chénopode","Pollinosis due to olive and Chenopodium",,,,,,,
529,"2873-1",,,"Manquent détails (résumé possésé seulement)","Details missing (only the abstract available)",,,,,
530,"2887-1","Patients asthmatiques","Asthmatic patients",,,,,,,
531,"2895-1","Patients allergiques à la noisette (TPODA+)","Patients allergic to hazelnut (DBOFC)",,,,,,,
532,"2895-2","Patients ayant montré une réaction sévère à la noisette","Patients having had a severe reaction to hazelnut",,,,,,,
533,"2909-1","Sujets polliniques (dont platane) et présentant des réactions alimentaires","Pollinosis subjects (including platanus) and Chenopodium",,,,,,,
534,"2918-1","Anaphylaxie aux graines de tournesol","Anaphylaxis due to sunflower seeds",,,,,,,
535,"2920-1","Multi-polliniques (armoise, et/ou platane et/ou pariétaire et/ou chénopode, etc..)","Multi-pollinosis (mugwort and/or platanus and/or parietaria and/or Chenopodium",,,,,,,
536,"2935-1","Allergie au platane","Allergy to platanus",,,,,,,
537,"2936-1","Patiente présentant une réaction anaphylactique aux épinards","A patient presenting with an anaphylactic reaction to spinach",,,,,,,
538,"2942-1","Patients présentant un syndrome latex-fruits","Patients presenting with a latex-fruit syndrome",,,,,,,
539,"2943-1","Sujets allergiques au latex","Subjects allergic to latex",,,,,,,
540,"2945-1","Syndrome oral tomate avec pollinose cèdre du Japon","Oral allergy syndrome due to tomato plus pollinosis due to Japanese cedar",,,,,,,
541,"2947-1","Patients polliniques avec RAST positif pour la noix de Nan Gai (bien que n'ayant jamais été en son contact)","Subjects with pollinosis and RAST+ to galip nut",,,,,,,
542,"2948-1","Sujets allergiques au cochon d'Inde","Subjects allergic to guinea pigs",,,,,,,
543,"2950-1","Une patiente avec allergie professionnelle au latex et syndrome latex-fruits","a patient with occupational allergy to latex and a latex-fruit syndrome",,,,,,,
544,"2950-2","Patient pollinique aux graminées sans allergie au latex","A patient with grass pollinosis without allergy to latex",,,,,,,
545,"2955-1","Sujet atopique CAP positif latex et litchi","An atopic subject who is CAP+ to latex and lichee",,,,,,,
546,"3058-1",,,"Données inexploitables: pool de 180 sujets ???","Data inexploitable: pool of 180 subjects???",,,,,
547,"3067-1","Polliniques au bouleau avec syndrome oral à divers aliments et RAST positif pour rBet v 6","Subjects with birch pollinosis and oral allergy syndrome to various foods and RAST+ for rBet v 6",,,,,,,
548,"3121-1",,,"Données inexploitables: inhibition réalisée avec un jus de pêche et non un extrait !","Data inexploitable: inhibition done with peach juice, not an extract!",,,,,
549,"3195-1","Patient asthmatique","An asthmatic patient",,,,,,,
550,"3204-1","Patients asthmatiques et RAST+ pour Penicillium","Asthmatic patients with a +RAST for Penicillium",,,,,,,
551,"3215-1","Patients allergiques au latex, ou au ricin, ou à la mercuriale","Patients allergic to latex, ricin or mercury [??]",,,,,,,
552,"3281-1","Allergie professionnelle à l'anis","Occupational allergy to anise",,,,,,,
553,"3282-1","Pollinose printannière avec TC et/ou RAST positif pour le frêne","Spring pollinosis with ST and/or RAST + for ash tree",,,,,,,
554,"3344-1","Patients allergiques aux fruits à coque","Patients allergic to tree nuts",,,,,,,
555,"3346-1","Patients polliniques présentant des réactions à l'ananas et/ou à la banane mais non allergiques au latex","Patients with pollinosis presenting with reactions to pineapple and/or banana but not allergic to latex",,,,,,,
556,"3367-1",,,"Manquent détails (résumé possésé seulement)","Details missing (only the abstract available)",,,,,
557,"3375-1","Sujets allergiques aux lentilles","Subjects allergic to lentils",,,,,,,
558,"3403-1",,,"Manquent détails (résumé possésé seulement)","Details missing (only the abstract available)",,,,,
559,"3410-1","Sujets allergiques au pollen de palmier","Subjects allergic to palm pollen",,,,,,,
560,"3446-1","Patients avec allergie respiratoire","Patients with respiratory allergy",,,,,,,
561,"3516-1","Une patiente avec anaphylaxie après ingestion de figue (séchée). Pas d'allergie au latex","A patient with anaphylaxis after eating a dried fig. Not allergic to latex",,,,,,,
562,"3568-1",,,"Pas de RC testée","CR not assayed",,,,,
563,"3570-1","?","?",,,,,,,
564,"3571-1","Patients allergiques à la courgette","Patients allergic to zucchini",,,,,,,
565,"3593-1","Patients allergiques à la pêche et polliniques à l'armoise","Patients allergic to peach with pollinosis to mugwort ",,,,,,,
566,"3593-2","Patients allergiques à la pêche et polliniques à l'armoise","Patients allergic to peach with pollinosis to mugwort ",,,,,,,
567,"3593-3","Patients allergiques à la pêche et polliniques à l'armoise","Patients allergic to peach with pollinosis to mugwort ",,,,,,,
568,"3688-1","(Niederberger, preliminary analysis, unpublished data)","(Neiderberger, preliminary analysis, unpublished data)",,,,,,,
569,"3713-1","Professionnels de la boulangerie","Bakers",,,,,,,
570,"3716-1","Patients avec ABPA ou dermatite atopique et ""sensibilisés"" à Aspergillus fumigatus","Patients with ABPA or atopic dermatitis and ""sensitized"" to Aspergillus fumigatus",,,,,,,
571,"3725-1","Sujets allergiques aux rosacées non sensibilisés au bouleau","Subjects allergic to Rosaceae but not birch-sensitized",,,,,,,
572,"3763-1","Asthme et/ou rhinite et TC+ Blomia et D ptero","Asthma and/or rhinitis and ST+ to Blomia and D. pteronyssinus",,,,,,,
573,"3770-1","Un cas d'urticaire généralisée due à la noix du Brésil","A case of generalized urticaria due to Brazil nuts",,,,,,,
574,"3771-1","Pollinose au chénopode avec réactions alimentaires","Chenopodium pollinosis with reactions to food",,,,,,,
575,"3800-1","Sujet atopique présentant une allergie au champignon Agaricus","An atopic subject presenting with allergy to Agaricus mushrooms",,,,,,,
576,"3802-1","Patients avec allergie respiratoire et TC positifs à différentes moisissures","Patients with respiratory allergy and +ST to various molds",,,,,,,
577,"3810-1","Polliniques olivier","Olive pollinosis",,,,,,,
578,"3815-1","Sujets positifs pour Hev b 2","Subjects + for Hev b 2",,,,,,,
579,"3900-1","Anaphylaxie vis à vis d'un supplément nutritionnel contenant un isolat de soja","Anaphylaxis related to a nutrional supplement containing soy isolate",,,,,,,
580,"3902-1","Enfant présentant rhinite et asthme","A child with rhinitis and asthma",,,,,,,
581,"3939-1","Un patient pollinique et allergique au céleri","A pollinosisi patient allergic to celery",,,,,,,
582,"3978-1","Sujets TC+ Tetranychus (non exposés) et TC+ acariens","Subjects ST+ to Tetranychus (not exposed) and ST+ to mites",,,,,,,
583,"3983-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
584,"4008-1","Sujets allergiques au latex (professionnels de santé) et CAP positifs pomme de terre","Subjects allergic to latex (health care professionals) and CAP+ for potato",,,,,,,
585,"4013-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
586,"4055-1","Sujets allergiques aux crevettes et IgE+ pour nPen m 2","Subjects allergic to shrimp and IgE+ for nPen m 2",,,,,,,
587,"4113-1","Sujets TC positifs pour Cladosporium et Aspergillus fumigatus","Subjects ST+ for Cladosporium and Aspergillus fumigatus",,,,,,,
588,"4126-1","Sujets polliniques à l'armoise","Subjects with mugwort pollinosis",,,,,,,
589,"4166-1","Sujets allergiques au raisin (ou au vin) et à la pêche","Subjects allergic to grapes (or to wine) and to peach",,,,,,,
590,"4166-2","Sujets allergiques au raisin (ou au vin) et à la pêche","Subjects allergic to grapes (or to wine) and to peach",,,,,,,
591,"4166-3","Sujets allergiques au raisin (ou au vin) et à la pêche","Subjects allergic to grapes (or to wine) and to peach",,,,,,,
592,"4168-1","Allergie au pois","Allergy to peas",,,,,,,
593,"4197-1",,,"Manquent détails (résumé possésé seulement)","Details missing (only the abstract available)",,,,,
594,"4258-1",,,"Manquent détails (résumé possésé seulement)","Details missing (only the abstract available)",,,,,
595,"4269-1",,,"Manquent détails (résumé possésé seulement)","Details missing (only the abstract available)",,,,,
596,"4353-1","Sujets allergiques au latex et à la gomme gutte","Subjects allergic to latex and gamboge",,,,,,,
597,"4373-1",,,"Données inexploitables","Data inexploitable",,,,,
598,"4374-1","Enfants CAP+ blatte germanique et crustacés","Children with +ACP for German cockroach and shellfish",,,,,,,
599,"4388-1","Patients avec un TC+ pour D. pteronyssinus","Patients with a +ST for D. pteronyssinus",,,,,,,
600,"4391-1","Patients avec syndrome oral melon","Patients with oral allergy syndrome from melon",,,,,,,
601,"4396-1",,,"Manquent détails (résumé possésé seulement)","Details missing (only the abstract available)",,,,,
602,"4407-1","Sérums positifs pour le plantain","Sera positive for platanus",,,,,,,
603,"4412-1","Sujets TC positifs pour différentes moisissures","Subjects ST+ for various molds",,,,,,,
604,"4413-1","Patient allergique à la citrouille","A patient allergic to pumpkin",,,,,,,
605,"4420-1","Anaphylaxie à l'ackee","Anaphylaxis to ackee",,,,,,,
606,"4422-1","Patient allergique aux feuilles de bette (vapeurs de cuisson)","Patients allergic to leaves of Swiss chard (cooking vapours)",,,,,,,
607,"4427-1","Patients présentant une ABPA","Patients presenting with ABPA",,,,,,,
608,"4427-2","Sujets ""sensibilisés"" à Aspergillus fumigatus","Subjects ""sensitized"" to Aspergillus fumigatus",,,,,,,
609,"4434-1","Patients allergiques au céleri, polliniques à l'armoise mais pas au bouleau","Patients allergic to celery, with mugwort pollinosis but not to birch",,,,,,,
610,"4434-2","Patients allergiques au céleri, polliniques  au bouleau mais pas à l'armoise","Patients allergic to celery, with birch but not mugwort pollinosis",,,,,,,
611,"4452-1","Sujets allergiques aux patelles et aux acariens","Subjects allergic to limpets and to mites",,,,,,,
612,"4453-1","1 patiente allergique au hamster et à la viande de cheval","One patient allergic to hamster and to horse meat",,,,,,,
613,"4488-1","Patients positifs in vitro pour le dactyle et le platane","Patients + in vitro for Bermuda grass and London plane",,,,,,,
614,"4497-1","Enfant allergique aux pignons de pin","A child allergic to pine nuts",,,,,,,
615,"4502-1",,,"Données inexploitables","Data inexploitable",,,,,
616,"4508-1","Anaphylaxie aux isolats de blé","Anaphylaxis due to wheat isolates",,,,,,,
617,"4510-1","Sujets TC positifs pour la moutarde","Subjects ST+ for mustard",,,,,,,
618,"4513-1","Patients avec une dermatite atopique et positifs pour Malassezia","Patients with atopic dermatitis and + for Malassezia",,,,,,,
619,"4516-1","Patients allergiques à l'œuf","Patients allergic to eggs",,,,,,,
620,"4517-1","Patients allergiques à l'œuf de poule","Patients allergic to hen's eggs",,,,,,,
621,"4576-1","Poliniques bouleau avec syndrome oral pour l'endive","Birc pollinosis with oral allergy syndrome for chicory",,,,,,,
622,"4590-1","Sujets allergiques à la laitue avec en blot une bande 9kD","Subjecs allergic to lettuce with a blot on a 9 kDa band",,,,,,,
623,"4631-1","2 enfants allergiques au lait de vache et CAP+ chien","Two children allergic to cow's milk and CAP+ to dog  ",,,,,,,
624,"4632-1","1 enfant allergique aux laits de chèvre et de brebis et devenu tolérant au lait de vache","One child allergic to goat's and sheep's milk who became tolerant to cow's milk ",,,,,,,
625,"4662-1","Allergie au poisson vérifiée par TPODA","Fish allergy confirmed by DBOFC",,,,,,,
626,"4668-1",,,"Données inexploitables","Data inexploitable",,,,,
627,"4670-1","Sujets allergiques à la tomate","Subjects allergic to tomato",,,,,,,
628,"4688-1","Enfants allergiques à l'arachide","Children allergic to peanuts",,,,,,,
629,"4698-1","Sujets allergiques au latex et au sarrasin","Subjects allergic to latex and buckwheat",,,,,,,
630,"4738-1",,,"Manquent détails (résumé possésé seulement)","Details missing (only the abstract available)",,,,,
631,"4739-1","Cohorte de sujets CAP positifs pomme","A cohort of subjects CAP+ to apple",,,,,,,
632,"4739-2","Patient avec réactions anaphylactiques pour différents fruits","A patient with anaphylactic reactions to various fruits",,,,,,,
633,"4744-1","Un patient allergique au latex et présentant une urticaire avec les feuilles de tabac","A latex allergic patient presenting with urticaria to tobacco leaves",,,,,,,
634,"4763-1","Allergiques aux acriens","Subjects allergic to mites",,,,,,,
635,"4779-1","Positivité pour Salsola kali","Positive assay for kali soda",,,,,,,
636,"4781-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
637,"4782-1","Sujets positifs pour l'olivier","Subjects + for olive",,,,,,,
638,"4789-1",,,"Manquent détails (résumé possésé seulement)","Details missing (only the abstract available)",,,,,
639,"4792-1","Allergiques à l'olivier","Subjects allergic to olive",,,,,,,
640,"4792-2","Allergiques à l'olivier et aux graminées","Subjects allergic to olive and grasses",,,,,,,
641,"4792-3","Allergiques aux graminées","Subjects allergic to grasses",,,,,,,
642,"4801-1","Sujets sensibilisés à l'armoise","Subjects sensitized to mugwort",,,,,,,
643,"4821-1","Sujets polliniques avec syndrome oral melon","Subjects with pollinosis and oral allergy syndrome to melon",,,,,,,
644,"4847-1","Une adulte allergique au latex au manioc et à différents ""fruits-latex""","An adult allergic to latex and manioc and to various ""latex fruits""",,,,,,,
645,"4881-1","Sujets allergiques au poisson","Subjects allergic to fish",,,,,,,
646,"4914-1","Sujets allergiques aux acariens, non exposés aux crustacés","Subjects allergic to mites and not exposed to shellfish",,,,,,,
647,"4914-2","Sujets allergiques aux crevettes","Sibjects allergic to shrimp",,,,,,,
648,"4916-1","Sujets allergiques à la figue (et TC positifs kiwi pour 3 d'entre eux)","Subjects allergic to fig (and 3 of them ST+ to kiwi)",,,,,,,
649,"4966-1","Adultes avec réactions respiratoires à l'artichaut","Adults with respiratory reactions to artichoke",,,,,,,
650,"4968-1","Sujets polliniques graminées avec syndrome oral  kiwi","Subjects with grass pollinosis and an oral allergy syndrome with kiwi",,,,,,,
651,"4993-1","Sujets allergiques au poisson","Subjects allergic to fish",,,,,,,
652,"5008-1","Sujets RAST+ céleri, bouleau et armoise (certains avec allergie au céleri)","Subjects RASR+ to elergy, birch and mugwort (some with allergy to celery)",,,,,,,
653,"5036-1","Sujets allergiques à l'arachide","Subjects allergic to peanuts",,,,,,,
654,"5039-1","Pollinose aux graminées","Grass pollinosis",,,,,,,
655,"5046-1","Patient allergique à la noix de cajou, à la noix et à l'arachide","A patient allergic to cashew nuts , walnuts and peanuts",,,,,,,
656,"5046-2","Patient allergique à la noix et à la noix de cajou (mais pas à l'archide)","A patient allergic to walnuts and cashew nuts (but not to peanuts)",,,,,,,
657,"5062-1","Un patient poly-pollinique avec allergie aux graines de tournesol et de niger","A patient with multiple pollinoses who is allergic to sunflower seeds and to [niger??]",,,,,,,
658,"5099-1",,,"Données inexploitables","Data inexploitable",,,,,
659,"5113-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
660,"5117-1",,,"Pas de RC testée","CR not assayed",,,,,
661,"5163-1","Polliniques au colza","Patients with pollinosis to colza",,,,,,,
662,"5254-1","Polliniques aux graminées","Patients with grass pollinosis",,,,,,,
663,"5271-1","Allergiques aux acariens","Subjects allergic to mites",,,,,,,
664,"5309-1","Enfants présentant un syndrome oral avec les agrumes","Children with an oral allergy syndrome due to citrus fruits",,,,,,,
665,"5311-1","Adultes allergiques au soja et polliniques au bouleau","Adults allergic to soybeans and with birch pollinosis",,,,,,,
666,"5313-1","Allergiques à l'ail","Sujects allergic to garlic",,,,,,,
667,"5321-1","Patients allergiques aux hyménoptères","Patients allergic to Hymenoptera",,,,,,,
668,"5341-1","Patients allergiques à Ostrya carpinifolia","Patients allergic to Ostrya carpinifolia",,,,,,,
669,"5365-1","Patients TC positifs pour le pollen de pistachier","Patients ST+ for pistachio pollen",,,,,,,
670,"5373-1","Allergiques au chénopode","Subjects allergic to Chenopodiaceae",,,,,,,
671,"5383-1","Sujets positifs in vitro pour la pariétaire","Subjects + in vitro for wall pellitory",,,,,,,
672,"5389-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
673,"5401-1","Allergie respiratoire au lièvre","Respiratory allergy to hares",,,,,,,
674,"5410-1","Allergie au Quorn","Allergy to Quorn",,,,,,,
675,"5476-1","Un cas de sensibilisation professionnelle au bois d'abachi puis au latex","A case of occupational allergy to abachi (Triplochiton scleroxylon) and also to latex",,,,,,,
676,"5491-1","Une patiente allergique à la banane puis au latex","A patient allergic to banana and also to latex",,,,,,,
677,"5494-1",,,"Manquent détails (résumé possésé seulement)","Details missing (only the abstract available)",,,,,
678,"5497-1","Polliniques à Juniperus ashei avec suspicion d'allergie alimentaire","Patients with pollinosis to Juniperus ashei with a suspicion of food allergy",,,,,,,
679,"5508-1","Allergiques aux ormeaux","Subjects allergic to elm trees",,,,,,,
680,"5523-1","Patients positifs pour la pariétaire","Patients + for wall pellitory",,,,,,,
681,"5529-1","2 cas d'allergie à la jujube (1 cas avec sensibilisation au latex, l'autre avec dermatite atopique)","Two cases of allergy to jujube (one case with sensitivity to latex, the other with atopic dermatitis)",,,,,,,
682,"5530-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
683,"5577-1",,,"Manquent détails (résumé possésé seulement)","Details missing (only the abstract available)",,,,,
684,"5585-1","Patients allergiques à la noix, la noix de cajou et la noisette","Patients allergic to walnuts, cashew nuts and hazelnuts",,,,,,,
685,"5602-1","Patients atopiques avec un TC positif pour les acariens testés","Atopic patients with a +ST for the mites tested",,,,,,,
686,"5607-1","Un sujet allergique au petit jacque et pollinique au bouleau","A subject allergic to [petit jacque] and with birch pollinosis",,"Pollinosis",,,,,
688,"5624-1","Sujets exposés aux animaux de laboratoire avec RAST positifs urines de rat et de souris","Subjects exposed to laboratory animals with +RAST for rat and mouse urine",,,,,,,
689,"5625-1","Sujets allergiques au latex et aux moisissures","Subjects allergic to latex and molds",,,,,,,
690,"5626-1",,,"Manquent détails (résumé possésé seulement)","Details missing (only the abstract available)",,,,,
691,"5643-1","1 enfant avec allergie au fromage de brebis sans allergie au lait de vache","A child with allergy to sheep cheese without allergy to cow's milk",,,,,,,
692,"5661-1","Anaphylaxie à la noix","Anaphylaxis to walnut",,,,,,,
693,"5663-1","Sujets allergiques au chat et au chien","Subjects allergic to cats and dogs",,,,,,,
694,"5667-1","Allergique à la noix de coco","A subject allergic to coconut",,,,,,,
695,"5671-1","Asthme professionnel aux feuilles de pêcher","Occupational asthma to peach tree",,,,,,,
696,"5690-1","Polliniques olivier","Pollinosis to olive",,,,,,,
697,"5729-1","Sujets positifs pour Hev b 13 et négatifs pour Hev b 7","Subjects + for Hev b 13 and − Hev b 7",,,,,,,
698,"5731-1","Sujets allergiques à la figue et TC positifs ficus","Subjects allergic to fig and ST+ for ficus",,,,,,,
699,"5731-2","Un patient allergique au latex et RAST positif figue","A patient allergic to latex and RAST+ for fig",,,,,,,
700,"5782-2","Patient allergique à la tomate, la cerise, la carotte et l'ananas","A patient allergic to tomato, cherries, carrot and pineapple",,,,,,,
701,"5821-1","Un adulte avec allergia au latex et anaphylaxie à l'aubergine (crue et cuite)","An adult with latex allergy and anaphylaxis due to eggplant (raw or cooked)",,,,,,,
702,"5842-1","Sujets allergiques à divers poisssons","Subjects allergic to various fish",,,,,,,
703,"5842-2","Sujet allergique au poisson et à la grenouille","A subject allergic to fish and frog",,,,,,,
704,"5926-1","Sujets TC positifs pour le bouleau et le charme","Subjects ST+ for birch and nornbeam",,,,,,,
705,"5944-1","Sujets TC positifs pour Robinia pseudoacacia","Subjects ST+ for Robina pseudacacia",,,,,,,
706,"5951-1","Sujets allergiques aux acariens","Subjects allergic to mites",,,,,,,
707,"5969-1","Allergie à la gelée royale","Allergy to royal jelly",,,,,,,
708,"5975-1","Patients avec syndrome oral pour le melon","Patients with oral allergy syndrome to melon",,,,,,,
709,"5979-1",,,"Manquent détails (résumé possésé seulement)","Details missing (only the abstract available)",,,,,
710,"5981-1","Polliniques platane avec réactions alimentaires","Platanus pollinosis with food reactions",,,,,,,
711,"6004-1","Professionnels allergiques au bois d'abachi","Workers allergic to abachi wood",,,,,,,
712,"6004-2","Patients non exposés allergiques au latex","Patients allergic, but not exposed, to latex",,,,,,,
713,"6041-1","Patients allergiques au chénopode","Patients allergic to Chenopodium",,,,,,,
714,"6058-1","Urticaire géante aux graines de tournesol","Giant urticaria due to sunflower seeds",,,,,,,
715,"6095-1","Anaphylaxie après morsure par un hamster nain","Anaphylaxis after a bite by a dwarf hamster",,,,,,,
716,"6107-1","sujets allergiques à D. ptero et blatte germanique","Subjects allergic to D. ptero and German cockroach",,,,,,,
717,"6116-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
718,"6123-1","Patients allergiques aux graminées","Patients allergic to grasses",,,,,,,
719,"6196-1","Polliniques à l'armoise","Mugwort pollinosis",,,,,,,
720,"6230-1","Asthme au contact d'un planeur de sucre (Petaurus breviceps)","Asthma on contact with a sugar glider (Petaurus breviceps)",,,,,,,
721,"6235-1","Sujets TC+ à Amblyseius","Subjects ST+ to Amblyseius",,,,,,,
722,"6239-1","Sujets allergiques au poisson","Subjects allergic to fish",,,,,,,
723,"6240-1","Patients allergiques au manioc et TC positifs latex","Patients allergic to manioc and ST+ for latex",,,,,,,
724,"6244-1","Adultes allergiques à la noix et à la pêche","Adults allergic to walnut and peach",,,,,,,
725,"6251-1","Sujets TC positifs pour Eleagnus angustifolia","Subjects ST+ for Eleagnus angustifolia",,,,,,,
726,"6281-1","Polliniques au chénopode","Pollinosis to Chenopodium",,,,,,,
727,"6294-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
728,"6320-1","Polliniques au bouleau avec réactions à la fraise","Birch pollinosis with reactions to strawberries",,,,,,,
729,"6354-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
730,"6367-1","Sujets allergiques au kiwi","Subjects allergic to kiwi",,,,,,,
731,"6385-1","Patients allergiques au chat","Patients allergic to cat",,,,,,,
732,"6386-1","Sujets polliniques allergiques au latex et au poivron","Pollinosis patients allergic to latex and pepper",,,,,,,
733,"6387-1","Patients allergiques au pois","Patients allergic to green peas",,,,,,,
734,"6405-1","Asthme professionnel à lagraine de fenouil","Occupational asthma to fennel seeds",,,,,,,
735,"6425-1","Fermiers RAST+  aux 5 acariens testés","Farmers RAST+ in assays for 5 mites ",,,,,,,
736,"6432-1","Sujets polliniques au bouleau et allergiques à l'arachide","Subjects with birch pollinosis and allergy to peanuts",,,,,,,
737,"6436-1","Sujets asthmatiques et IgE+ pour les 3 acariens testés","Asthmatic subjects with IgE+ assays for 3 mites ",,,,,,,
738,"6437-1","Sujets allergiques à la moutarde (majoritairement des adultes et polliniques à l'armoise)","Subjects allergic to mustard (a majority adults with mugwort pollinosis)",,,,,,,
739,"6437-2","Sujets allergiques à la moutarde (majoritairement des adultes et polliniques à l'armoise)","Subjects allergic to mustard (a majority adults with mugwort pollinosis)",,,,,,,
740,"6440-1","1 enfant allergique aux laits de chèvre et de brebis mais pas de vache","A child allergic to goat's milk and sheep's milk but not to cow's milk",,,,,,,
741,"6440-2","1 enfant allergique aux laits de brebis, chèvre et vache","A child allergic to sheep, goat and cow's milk",,,,,,,
742,"6469-1","Sujets allergiques au poisson","Subjects allergic to fish",,,,,,,
743,"6478-1","Sujets avec réaction systémique après piqûre par un Vespide","Subjects with a systemic reaction after a wasp sting",,,,,,,
744,"6492-1","Patient avec syndrome œuf-oiseaux","Patients with egg-bird syndrome",,,,,,,
745,"6498-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
746,"6518-1",,,"Manquent détails dans l'article","Missing details in the article",,,,,
747,"6535-1","Sujets IgE+ Buccinum undatum","Subjects IgE+ to Buccinum undatum (common whelk)",,,,,,,
