"groupe de patient","recrutement","pays","nombre de sujets","sérums testés séparément","inhibitions chiffrées","date","pas de RC testée etc","remarques"
"4420-1","Anaphylaxie à l'ackee","USA","1",-1,-1,14-août-07,,
"4422-1","Patient allergique aux feuilles de bette (vapeurs de cuisson)","Espagne","1",-1,-1,03-août-07,,
"4427-1","Patients présentant une ABPA","Suisse","2",-1,-1,29-oct.-07,,
"4427-2","Sujets ""sensibilisés"" à Aspergillus fumigatus","Suisse","4 ?",0,-1,29-oct.-07,,
"4434-1","Patients allergiques au céleri, polliniques à l'armoise mais pas au bouleau","France","7",-1,-1,03-août-07,,
"4434-2","Patients allergiques au céleri, polliniques  au bouleau mais pas à l'armoise","France","3",-1,-1,03-août-07,,
"4452-1","Sujets allergiques aux patelles et aux acariens","Espagne","5",0,0,17-juil.-07,,
"4453-1","1 patiente allergique au hamster et à la viande de cheval","Espagne","1",-1,-1,17-juil.-07,,
"4488-1","Patients positifs in vitro pour le dactyle et le platane","Espagne","10",0,-1,04-oct.-07,,
"4497-1","Enfant allergique aux pignons de pin","Espagne","1",-1,0,30-oct.-07,,
"4502-1",,,,-1,-1,03-août-07,-1,"Données inexploitables"
"4503-1",,,,-1,-1,13-nov.-09,-1,"Pas de RC testée"
"4508-1","Anaphylaxie aux isolats de blé","France","1",-1,-1,21-juin-08,,
"4510-1","Sujets TC positifs pour la moutarde","France","5",0,-1,20-oct.-07,,
"4513-1","Patients avec une dermatite atopique et positifs pour Malassezia","Suède","5",0,0,29-oct.-07,,
"4516-1","Patients allergiques à l'œuf","Australie","6",-1,-1,17-juil.-07,,
"4517-1","Patients allergiques à l'œuf de poule","Norvège","3",0,-1,17-juil.-07,,
"452-1","Un cas d'anaphylaxie au litchi chez une fleuriste allergique aux Composées","Suisse","1",-1,-1,31-juil.-07,,
"453-1","Sujets TC+ acariens","Australie / Taiwan","41?",0,-1,17-juil.-07,,
"4576-1","Poliniques bouleau avec syndrome oral pour l'endive","Belgique","2",-1,0,03-août-07,,
"458-1","Sujets RAST positifs bouleau et pomme","Allemagne","12",0,-1,03-août-07,,
"4587-1",,,,-1,-1,13-nov.-09,-1,"Utilisation d'un mAb"
"4590-1","Sujets allergiques à la laitue avec en blot une bande 9kD","Espagne","2",-1,0,03-août-07,,
"463-1","Polliniques à l'ambroisie avec RAST latex et profiline d'ambroisie positifs","France","10",0,-1,25-juil.-07,,
"4631-1","2 enfants allergiques au lait de vache et CAP+ chien","France","2",-1,-1,17-juil.-07,,
"4632-1","1 enfant allergique aux laits de chèvre et de brebis et devenu tolérant au lait de vache","Portugal","1",-1,0,17-juil.-07,,
"4662-1","Allergie au poisson vérifiée par TPODA","Danemark","18",-1,-1,17-juil.-07,,
"4668-1",,,,-1,-1,03-août-07,-1,"Données inexploitables"
"4670-1","Sujets allergiques à la tomate","Allemagne","2",-1,-1,12-sept.-07,,
"4676-1",,,,-1,-1,28-janv.-09,-1,"manquent détails dans le résumé"
"4688-1","Enfants allergiques à l'arachide","France","?",0,-1,31-oct.-07,,
"4698-1","Sujets allergiques au latex et au sarrasin","France","10",-1,-1,25-juil.-07,,
"471-1",,,,-1,-1,16-nov.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"4738-1",,,,-1,-1,04-oct.-07,-1,"Manquent détails (résumé possésé seulement)"
"4739-1","Cohorte de sujets CAP positifs pomme","Pays-Bas","55",0,-1,01-déc.-09,,
"4739-2","Patient avec réactions anaphylactiques pour différents fruits","Pays-Bas","1",-1,-1,01-déc.-09,,
"4744-1","Un patient allergique au latex et présentant une urticaire avec les feuilles de tabac","France","1",-1,-1,25-juil.-07,,
"4763-1","Allergiques aux acriens","Autriche","4",-1,0,17-juil.-07,,
"4779-1","Positivité pour Salsola kali","Espagne","4",0,0,04-oct.-07,,
"4781-1",,,,-1,-1,04-oct.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"4782-1","Sujets positifs pour l'olivier","Espagne","?",0,-1,04-oct.-07,,
"4789-1",,,,-1,-1,04-oct.-07,-1,"Manquent détails (résumé possésé seulement)"
"4792-1","Allergiques à l'olivier","Espagne","9",-1,-1,04-oct.-07,,
"4792-2","Allergiques à l'olivier et aux graminées","Espagne","9",-1,-1,04-oct.-07,,
"4792-3","Allergiques aux graminées","Espagne","4",-1,-1,04-oct.-07,,
"48-1",,,,-1,-1,13-nov.-09,-1,"Pas de RC testée"
"4801-1","Sujets sensibilisés à l'armoise","Autriche","?",0,-1,12-août-07,,
"4821-1","Sujets polliniques avec syndrome oral melon","Espagne","5",0,0,03-août-07,,
"484-1","Polliniques aux graminées et aux herbacées","Autriche","2",-1,0,30-août-07,,
"4847-1","Une adulte allergique au latex au manioc et à différents ""fruits-latex""","Mozambique","1",-1,-1,25-juil.-07,,
"487-1",,,,-1,-1,16-janv.-10,,"Pas de RC testée avec nos normes (animal, in vivo)"
"488-1",,,,-1,-1,13-nov.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"4881-1","Sujets allergiques au poisson","Japon","5",0,-1,17-juil.-07,,
"490-1","Sujets TC latex positifs (dont 4 sont allergiques à l'avocat et/ou à la banane)","Espagne","8",0,-1,25-juil.-07,,
"491-1","Patients allergiques au latex, à l'avocat et à la châtaigne","Espagne","3",0,-1,20-sept.-09,,
"4914-1","Sujets allergiques aux acariens, non exposés aux crustacés","Israël","3",0,-1,17-juil.-07,,
"4914-2","Sujets allergiques aux crevettes","USA","4",0,-1,17-juil.-07,,
"4916-1","Sujets allergiques à la figue (et TC positifs kiwi pour 3 d'entre eux)","Allemagne","5",-1,-1,25-juil.-07,,
"4966-1","Adultes avec réactions respiratoires à l'artichaut","Espagne","2",-1,0,03-août-07,,
"4968-1","Sujets polliniques graminées avec syndrome oral  kiwi","Serbie","6",-1,-1,25-juil.-07,,
"4993-1","Sujets allergiques au poisson","Japon","3",-1,-1,17-juil.-07,,
"5-1",,,,-1,-1,29-oct.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"50-1","Sujets TC+ blatte germanique","USA","4",0,-1,17-juil.-07,,
"5008-1","Sujets RAST+ céleri, bouleau et armoise (certains avec allergie au céleri)","Allemagne","14",0,0,02-nov.-09,,
"5036-1","Sujets allergiques à l'arachide","Australie","4",-1,-1,30-oct.-07,,
"5039-1","Pollinose aux graminées","France","?",0,-1,12-août-07,,
"5046-1","Patient allergique à la noix de cajou, à la noix et à l'arachide","USA","1",-1,0,23-oct.-07,,
"5046-2","Patient allergique à la noix et à la noix de cajou (mais pas à l'archide)","USA","1",-1,0,23-oct.-07,,
"5062-1","Un patient poly-pollinique avec allergie aux graines de tournesol et de niger","Espagne","1",-1,0,23-oct.-07,,
"507-1","2 patientes allergiques à l'œuf et aux plumes d'oiseaux","France","2",-1,-1,17-juil.-07,,
"5099-1",,,,-1,-1,15-juin-08,-1,"Données inexploitables"
"5113-1",,,,-1,-1,20-oct.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"5117-1",,,,-1,-1,13-nov.-07,-1,"Pas de RC testée"
"5152-1","Allergie à des œufs de poisson, sans allergie à la chair de poisson","Finlande","2",-1,0,25-janv.-09,,
"5163-1","Polliniques au colza","Autriche","4",-1,0,04-oct.-07,,
"52-1",,,,-1,-1,13-nov.-09,-1,"Inhibitions d'IEF : non exploitables et souvent partielles"
"524-1",,,,-1,-1,17-juil.-07,-1,"Manquent détails (résumé possésé seulement)"
"5254-1","Polliniques aux graminées","Autriche","9",0,0,04-oct.-07,,
"527-1",,,,-1,-1,13-nov.-09,-1,"Pas de RC testée par méthode d'inhibition"
"5271-1","Allergiques aux acariens","Taiwan","11",-1,-1,01-déc.-09,,
"528-1","Patients allergiques au venin de guêpe Vespula","USA","10",-1,-1,13-nov.-09,,
"53-1","Allergie professionnelle à des coléoptères","USA","2",0,-1,22-janv.-08,,
"5309-1","Enfants présentant un syndrome oral avec les agrumes","Espagne","4",0,0,03-août-07,,
"5311-1","Adultes allergiques au soja et polliniques au bouleau","Allemagne / Suisse","11",-1,-1,12-août-07,,
"5313-1","Allergiques à l'ail","Taiwan","6",0,-1,03-août-07,,
"5321-1","Patients allergiques aux hyménoptères","Belgique","2",-1,-1,31-août-07,,
"5341-1","Patients allergiques à Ostrya carpinifolia","Italie","12",-1,0,04-oct.-07,,
"5365-1","Patients TC positifs pour le pollen de pistachier","Israël","?",0,-1,04-oct.-07,,
"5373-1","Allergiques au chénopode","Espagne","6",0,0,04-oct.-07,,
"5383-1","Sujets positifs in vitro pour la pariétaire","Autriche","4",-1,0,04-oct.-07,,
"5389-1",,,,-1,-1,13-nov.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"539-1","Sujets polliniques (notamment olivier), allergiques à la pistache et TC noix de cajou positif","Espagne","3",0,-1,25-juil.-07,,
"5401-1","Allergie respiratoire au lièvre","Espagne","1",-1,-1,21-oct.-07,,
"5410-1","Allergie au Quorn","Belgique","1",-1,0,29-oct.-07,,
"547-1",,,,-1,-1,04-oct.-07,-1,"Manquent détails (résumé possésé seulement)"
"5476-1","Un cas de sensibilisation professionnelle au bois d'abachi puis au latex","Espagne","1",-1,-1,25-juil.-07,,
"5480-1","Allergie au ficus","Allemagne","1",-1,-1,13-nov.-09,,
"5488-1",,,,-1,-1,28-janv.-09,-1,"manquent détails sur produits testés, nb patients et nb de positifs"
"5491-1","Une patiente allergique à la banane puis au latex","France","1",-1,-1,25-juil.-07,,
"5494-1",,,,-1,-1,25-juil.-07,-1,"Manquent détails (résumé possésé seulement)"
"5496-1",,,,-1,-1,28-janv.-09,-1,"manquent détails (résumé) concernant l'acarien et le nb de RC+"
"5497-1","Polliniques à Juniperus ashei avec suspicion d'allergie alimentaire","USA","7",0,-1,25-juil.-07,,
"55-1","Fermiers avec symptômes respiratoires","Suède","6",-1,-1,01-déc.-09,,
"55-2","Patients avec asthme et/ou rhino-conjonctivite","Brésil","6",-1,-1,01-déc.-09,,
"5508-1","Allergiques aux ormeaux","Japon","5 ?",0,-1,17-juil.-07,,
"5523-1","Patients positifs pour la pariétaire","Italie","12",-1,-1,04-oct.-07,,
"5529-1","2 cas d'allergie à la jujube (1 cas avec sensibilisation au latex, l'autre avec dermatite atopique)","Taiwan","2",-1,0,25-juil.-07,,
"5530-1",,,,-1,-1,29-oct.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"5577-1",,,,-1,-1,03-août-07,-1,"Manquent détails (résumé possésé seulement)"
"5585-1","Patients allergiques à la noix, la noix de cajou et la noisette","USA","3",-1,0,23-oct.-07,,
"5594-1",,,,-1,-1,28-janv.-09,-1,"manque de détails dans résumé"
"560-1","Enfant TC positif pour la noix et la pistache","France","1",-1,-1,30-oct.-07,,
"5602-1","Patients atopiques avec un TC positif pour les acariens testés","Singapour","21?",0,-1,17-juil.-07,,
"5607-1","Un sujet allergique au petit jacque et pollinique au bouleau","Pays-Bas","1",-1,-1,01-déc.-09,,
"562-1",,,,-1,-1,13-nov.-09,-1,"Pas de RC testée"
"5624-1","Sujets exposés aux animaux de laboratoire avec RAST positifs urines de rat et de souris","Grande Bretagne","6",-1,-1,21-oct.-07,,
"5625-1","Sujets allergiques au latex et aux moisissures","Autriche / Italie","19",-1,-1,01-déc.-09,,
"5626-1",,,,-1,-1,30-août-07,-1,"Manquent détails (résumé possésé seulement)"
"564-1","Patients allergiques à l'olivier","Espagne","6",0,-1,03-oct.-07,,
"5643-1","1 enfant avec allergie au fromage de brebis sans allergie au lait de vache","Espagne","1",-1,-1,17-juil.-07,,
"566-1",,,,-1,-1,13-nov.-09,-1,"RC au niveau T"
"5661-1","Anaphylaxie à la noix","Italie","1",-1,-1,30-oct.-07,,
"5663-1","Sujets allergiques au chat et au chien","USA","3",0,-1,21-oct.-07,,
"5667-1","Allergique à la noix de coco","USA","1",-1,0,30-oct.-07,,
"567-1","Allergie aux acariens","USA","13",0,-1,17-juil.-07,,
"5671-1","Asthme professionnel aux feuilles de pêcher","Espagne","1",-1,0,03-août-07,,
"5674-1","Patients doublement positifs (mais piqués par une guêpe)","Autriche","8",-1,0,24-oct.-09,,
"5679-1","Sujets avec histoire de piqûre d'abeille","Pays-Bas","2",-1,-1,15-juin-09,,
"569-1","Patients allergiques aux moustiques","Canada","?",0,-1,13-nov.-09,,
"5690-1","Polliniques olivier","Espagne","?",0,-1,12-août-07,,
"570-1","Adultes allergiques au latex","Allemagne","10",-1,-1,25-juil.-07,,
"571-1","Sujets TC+ pour Periplaneta americana","Taiwan","9",-1,-1,17-juil.-07,,
"572-1","Un patient pollinique avec syndrome oral à lingestion de petit jacque","Suisse","1",-1,-1,01-août-07,,
"5729-1","Sujets positifs pour Hev b 13 et négatifs pour Hev b 7","USA","3",0,-1,17-juil.-07,,
"573-1","patients avec allergie professionnelle au safran","Espagne","7",0,-1,02-déc.-07,,
"5731-1","Sujets allergiques à la figue et TC positifs ficus","Allemagne","2",0,0,25-juil.-07,,
"5731-2","Un patient allergique au latex et RAST positif figue","Allemagne","1",-1,0,25-juil.-07,,
"574-1","Enfants IgE+ pour Anisakis","Espagne","18",0,0,17-juil.-07,,
"575-1","Patiente allergique à Tradescantia (misère)","Suisse","1",-1,-1,05-janv.-08,,
"575-2","Sujet allergique au ficus","Suisse","1",-1,-1,05-janv.-08,,
"576-1",,,,-1,-1,03-août-07,-1,"Pas de RC testée ou méthodologie non conforme"
"577-1","Patient allergique à la farine de colza","Espagne","1",-1,-1,30-oct.-07,,
"577-2","Patients allergiques à la moutarde","Espagne","?",0,-1,30-oct.-07,,
"5782-2","Patient allergique à la tomate, la cerise, la carotte et l'ananas","Allemagne","1",-1,-1,03-août-07,,
"579-1","Fermiers exposés à Lepidoglyphus","Suède","20",0,-1,17-juil.-07,,
"579-2","Allergiques aux acariens","Brésil","23",0,-1,17-juil.-07,,
"58-1",,,,-1,-1,13-nov.-09,-1,"Pas de RC testée"
"581-1","Patients polliniques au chénopode","Espagne","20",0,-1,27-sept.-09,,
"582-1","Professionnels de la fourrure avec TC positif pour diverses fourrures","Finlande","1-2",-1,-1,05-janv.-08,,
"5821-1","Un adulte avec allergia au latex et anaphylaxie à l'aubergine (crue et cuite)","Corée","1",-1,-1,25-juil.-07,,
"583-1","Sujets atopiques réagissant aux graines de ricin","Inde","26",0,0,12-août-07,,
"5842-1","Sujets allergiques à divers poisssons","Luxembourg","2",-1,-1,17-juil.-07,,
"5842-2","Sujet allergique au poisson et à la grenouille","Luxembourg","1",-1,-1,17-juil.-07,,
"5926-1","Sujets TC positifs pour le bouleau et le charme","Slovénie","25",-1,-1,04-oct.-07,,
"593-1","16 enfants et 1 adulte allergiques au lait de vache TC+ IgE+","Grande Bretagne","16",0,-1,17-juil.-07,,
"594-1","Allergiques au latex et à la banane","Finlande","6",-1,-1,20-sept.-09,,
"5944-1","Sujets TC positifs pour Robinia pseudoacacia","Espagne","?",0,0,04-oct.-07,,
"5951-1","Sujets allergiques aux acariens","Martinique","?",0,-1,17-juil.-07,,
"5969-1","Allergie à la gelée royale","Espagne","2",-1,-1,17-juil.-07,,
"5975-1","Patients avec syndrome oral pour le melon","Iran","?",0,-1,03-août-07,,
"5979-1",,,,-1,-1,12-août-07,-1,"Manquent détails (résumé possésé seulement)"
"598-1","Sujets ""sensibilisés"" aux acariens","France","5",0,-1,17-juil.-07,,
"5981-1","Polliniques platane avec réactions alimentaires","Espagne","?",0,0,12-août-07,,
"600-1","Patients avec TC positifs pour divers pollens d'Artemisia","USA","9",0,-1,03-oct.-07,,
"6004-1","Professionnels allergiques au bois d'abachi","Allemagne","7",-1,-1,25-juil.-07,,
"6004-2","Patients non exposés allergiques au latex","Allemagne","4",-1,-1,25-juil.-07,,
"603-1",,,,-1,-1,04-mars-09,-1,"Résultats contradictoires entre figure 1 et table 1"
"604-1","Enfants polliniques aux graminées avec syndrome oral pour la tomate","Italie","5",-1,-1,04-août-07,,
"6041-1","Patients allergiques au chénopode","Espagne","5",0,0,04-oct.-07,,
"605-1","Sujets allergiques au kiwi et au bouleau","Allemagne","3",-1,-1,25-juil.-07,,
"6058-1","Urticaire géante aux graines de tournesol","France","1",-1,0,28-sept.-09,,
"6095-1","Anaphylaxie après morsure par un hamster nain","Singapour","2",0,-1,21-oct.-07,,
"610-1","Patients positifs in vitro pour la profiline d'ambroisie","France","10",0,-1,04-mars-09,,"D'autres RC pas saisies car le % d'inhib est une moyenne; et % pour Alternaria = bizarre (63%)"
"6107-1","sujets allergiques à D. ptero et blatte germanique","Corée","?",0,-1,17-juil.-07,,
"6116-1",,,,-1,-1,04-oct.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"6123-1","Patients allergiques aux graminées","Autriche","4",-1,0,30-août-07,,
"6138-1",,,,-1,-1,13-nov.-09,-1,"Manquent détails dans le résumé"
"614-1",,,,-1,-1,28-févr.-09,-1,
"6191-1",,,,-1,-1,13-nov.-09,-1,"Utilisation d'un mAb"
"6196-1","Polliniques à l'armoise","Espagne","7",-1,-1,03-août-07,,
"623-1","Patients allergiques au latex avec pollinose (graminées et/ou bouleau) chez 30-50%","Autriche","6",-1,-1,04-mars-09,,
"623-2","Patients positifs in vitro pour le latex, sans manifestations cliniques","Autriche","4",-1,-1,06-janv.-08,,
"6230-1","Asthme au contact d'un planeur de sucre (Petaurus breviceps)","USA","1",-1,0,03-mai-08,,
"6235-1","Sujets TC+ à Amblyseius","Pays-Bas","5",-1,-1,17-juil.-07,,
"6239-1","Sujets allergiques au poisson","Japon","9",0,-1,17-juil.-07,,
"6240-1","Patients allergiques au manioc et TC positifs latex","Brésil","2",0,-1,25-juil.-07,,
"6244-1","Adultes allergiques à la noix et à la pêche","Italie","5",0,0,12-août-07,,
"6251-1","Sujets TC positifs pour Eleagnus angustifolia","Espagne","17",0,-1,04-oct.-07,,
"6265-1",,,,-1,-1,13-nov.-09,-1,"Pas de RC testée"
"627-1","Anaphylaxie à la tisane de camomille","Espagne","1",-1,-1,05-janv.-08,,
"6281-1","Polliniques au chénopode","Espagne","8",0,-1,20-oct.-07,,
"6294-1",,,,-1,-1,21-nov.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"63-1","Allergiques au chat","Pays-Bas","11",0,-1,01-déc.-09,,
"630-1","Sujets avec rhinite/asthme et TC+ chironomes","Suède","14",-1,-1,17-juil.-07,,
"6314-1","Patients allergiques à la noix (Juglans regia)","USA","?",-1,0,23-oct.-07,,
"6320-1","Polliniques au bouleau avec réactions à la fraise","Suède","1",-1,0,03-août-07,,
"633-1",,,,-1,-1,04-oct.-07,-1,"Manquent détails (résumé possésé seulement)"
"635-1","Sérum commercial (Kallestad) positif pour les pollens de graminées","USA","?",0,-1,19-nov.-09,,
"6354-1",,,,-1,-1,20-oct.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"636-1","Patients allergiques aux graminées et/ou à la farine de blé","Australie","4",-1,0,30-août-07,,
"6367-1","Sujets allergiques au kiwi","Non précisé","5",-1,-1,25-juil.-07,,
"637-1","Allergiques aux Vespides avec RAST positif pour Vespula et Polistes","Espagne","6",0,-1,17-juil.-07,,
"638-1","Sujets IgE+ à D. pteronyssinus et à 1 des autres acariens, au moins","Grande Bretagne","8",-1,-1,01-déc.-09,,
"6385-1","Patients allergiques au chat","Australie","8",-1,-1,21-oct.-07,,
"6386-1","Sujets polliniques allergiques au latex et au poivron","Autriche","3",-1,0,25-juil.-07,,
"6387-1","Patients allergiques au pois","Espagne","18",0,0,31-oct.-07,,
"639-1","Pollinose aux pollens d'arbres","Autriche","?",0,0,04-oct.-07,,
"6405-1","Asthme professionnel à lagraine de fenouil","USA","1",-1,-1,03-août-07,,
"641-1","Sujets ""sensibilisés"" à l'olivier (mais hors contact avec l'olivier)","Australie / France","3",-1,-1,01-déc.-09,,
"642-1","Polliniques avec TC positif pour l'ambroisie","USA","10",0,-1,24-oct.-07,,
"6425-1","Fermiers RAST+  aux 5 acariens testés","Suède","3",0,-1,17-juil.-07,,
"643-1",,,,-1,-1,13-nov.-09,-1,"Utilisation de mAb"
"6432-1","Sujets polliniques au bouleau et allergiques à l'arachide","Pays-Bas / Suisse","7",-1,-1,01-déc.-09,,
"6436-1","Sujets asthmatiques et IgE+ pour les 3 acariens testés","Colombie","8",0,-1,17-juil.-07,,
"6437-1","Sujets allergiques à la moutarde (majoritairement des adultes et polliniques à l'armoise)","Espagne","5",0,-1,03-août-07,,
"6437-2","Sujets allergiques à la moutarde (majoritairement des adultes et polliniques à l'armoise)","Espagne","11",0,-1,03-août-07,,
"6440-1","1 enfant allergique aux laits de chèvre et de brebis mais pas de vache","Portugal","1",-1,0,17-juil.-07,,
"6440-2","1 enfant allergique aux laits de brebis, chèvre et vache","Portugal","1",-1,0,17-juil.-07,,
"6469-1","Sujets allergiques au poisson","Norvège","6",0,-1,17-juil.-07,,
"647-1",,,,-1,-1,29-oct.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"6478-1","Sujets avec réaction systémique après piqûre par un Vespide","USA","10",-1,-1,17-juil.-07,,
"648-1",,,,-1,-1,04-mars-09,-1,"pas clair : ""some degree of cross-reactivity"""
"649-1","Sujets TC positifs pour Malassezia","Finlande","5",-1,-1,29-oct.-07,,
"6492-1","Patient avec syndrome œuf-oiseaux","Pays-Bas","1",-1,-1,17-juil.-07,,
"6495-1",,,,-1,-1,13-nov.-09,-1,"Pas de RC testée"
"6498-1",,,,-1,-1,04-oct.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"651-1","Patients allergiques à la laitue","USA","4",0,-1,03-août-07,,
"6518-1",,,,-1,-1,29-oct.-07,-1,"Manquent détails dans l'article"
"652-1","Patients allergiques à la viande de porc et au chat","France","3",-1,-1,26-mai-08,,
"653-1","Enfants asthmatiques avec IgE+ pour D. farinae et l'agglutinine de Limulus","Japon","5",0,-1,17-juil.-07,,
"6535-1","Sujets IgE+ Buccinum undatum","Corée","?",0,-1,17-juil.-07,,
"654-1",,,,-1,-1,14-août-09,-1,"Utilisation de mAb"
"6547-1","Polliniques au cèdre du Japon","Japon","15",0,-1,04-oct.-07,,
"6547-2","Allergiques au cyprès","France","7",0,-1,04-oct.-07,,
"6563-1","Sujets TC positifs à différentes moisissures","USA","7",0,0,29-oct.-07,,
"6586-1","Un enfant avec spina bifida et allergie au latex et au pois chiche","Portugal","1",-1,-1,25-juil.-07,,
"6589-1","Patients polliniques à l'olivier","Italie","15",0,-1,15-nov.-07,,
"6589-2","Patients polliniques au cyprès","Italie","5",0,-1,15-nov.-07,,
"659-1","Une femme de 77 ans avec réaction anaphylactique à la figue (non allergique au latex)","France","1",-1,-1,25-juil.-07,,
"6590-1","Polliniques (bouleau, graminées) avec allergie pomme noisette et réaction au kaki à la première ingestion","Pays-Bas","2",-1,0,01-déc.-09,,
"6592-1","Patients allergiques aux graminées","Australie","10 ?",0,-1,30-août-07,,
"66-1","Patients asthmatiques avec un RAST positif pour des moucherons","Japon","3",0,-1,25-nov.-09,,
"660-1",,,,-1,-1,29-oct.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"6600-1","Sujets CAP+ D. ptero et Helix aspersa","Portugal","16",0,0,17-juil.-07,,
"6600-2","Sujets allergiques à l'escargot et TC+ acariens","Portugal","6",-1,-1,17-juil.-07,,
"6603-1","Allergie au vin et au raisin","Allemagne","1",-1,0,03-août-07,,
"6604-1","Patients polliniques","Inde","?",0,-1,04-oct.-07,,
"6604-2","Patients polliniques","France","?",0,-1,04-oct.-07,,
"662-1","Enfants TC positifs pour la pistache et la noix de cajou","Espagne","2",-1,-1,30-oct.-07,,
"6639-1",,,,-1,-1,27-févr.-09,-1,"résultats contradictoires dans l'article"
"665-1","Allergiques aux phanères avec RAST positifs aux albumines","Autriche","8",-1,-1,20-oct.-07,,
"6652-1",,,,-1,-1,28-janv.-09,-1,"le poster ne montre que la moyenne géométrique des % d'inhibition : combien de sujets sont positifs = ?"
"667-1",,,,-1,-1,16-août-07,-1,"Pas de RC testée ou méthodologie non conforme"
"6673-1","Polliniques au platane avec allergies alimentaires","Espagne","8-15",0,-1,03-août-07,,
"6679-1","Polliniques au cèdre du Japon","Japon","5",0,-1,25-juil.-07,,
"6679-2","patients allergiques au latex","Japon","3",0,-1,25-juil.-07,,
"668-1",,,,-1,-1,12-août-07,-1,"Pas de RC testée ou méthodologie non conforme"
"669-1","Patients atopiques et CAP positifs pour Candida albicans","Japon","2",-1,0,29-oct.-07,,
"67-1","Patients allergiques à un trichoptère (et IgE+ pour les inhibiteurs testés)","USA","2",-1,-1,17-juil.-07,,
"67-2","Sujets allergiques aux acariens","Pays-Bas","3",-1,-1,17-juil.-07,,
"672-1",,,,-1,-1,12-août-07,-1,"Données inexploitables"
"6726-1",,,,-1,-1,09-sept.-09,-1,"manquent détails"
"6739-1",,,,-1,-1,17-août-09,-1,"2 pools (53 SB et 180 HCW) : mais on ne sait pas ce qui a été utilisé pour les RC"
"674-1","Réactions respiratoires au contact des asperges","Suisse","2",-1,-1,04-août-07,,
"6775-1","Patients allergiques au latex et positifs en ELISA pour nHev b 6.02","Finlande","5",-1,-1,27-juil.-07,,
"6786-1",,,,-1,-1,29-oct.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"679-1","Ouvriers de serres avec allergie respiratoire","Espagne","14",0,-1,17-juil.-07,,
"6808-1","Patients allergiques à l'olivier","Espagne","16",0,0,25-juil.-07,,
"6824-1",,,,-1,-1,24-nov.-09,-1,"Utilisation d'Ab"
"684-1",,,,-1,-1,28-févr.-09,-1,
"6852-1","Sujets polliniques avec TC positif pariétaire et/ou ortie","France","?",0,-1,20-oct.-07,,
"687-1","Patients allergiques au chat","Luxembourg","3",-1,0,21-oct.-07,,
"687-2","Patients allergiques au chat","Luxembourg","2",-1,-1,21-oct.-07,,
"688-1","Patients allergiques au kiwi et au bouleau","Danemark","7",-1,-1,25-juil.-07,,
"6891-1","Allergiques à l'arachide","USA","?",0,0,31-oct.-07,,
"6892-1","Sujets asthmatiques avec IgE+ acariens, blatte, crevette et positifs rLep s 1","Italie","3",-1,-1,17-juil.-07,,
"6894-1",,,,-1,-1,30-août-07,-1,"Données inexploitables"
"691-1","Professionnels de santé allergiques au latex","USA","10",0,-1,25-juil.-07,,
"692-1","Sujet allergique à Cladosporium et Alternaria","Autriche","1",-1,0,29-oct.-07,,
"693-1","Polliniques (plantain et dactyle) et allergiques au melon (syndrome oral)","Espagne","3",0,0,04-août-07,,
"6937-1","Asthme professionnel à la viande de bœuf avec TC+ chien et chat","Espagne","1",-1,0,17-juil.-07,,
"694-1","Polliniques au bouleau présentant une bande 35kD positive (Bet v 6)","Allemagne","3",0,0,25-juil.-07,,
"696-1",,,,-1,-1,27-févr.-09,-1,"sens de RC = ? Dans le résumé"
"697-1","Sujets professionellement exposés aux acariens phytophages","Espagne","4",-1,-1,06-janv.-08,,
"697-2","Sujets fortement positifs in vitro pour D. pteronyssinus et non exposés aux acriens phytophages","Espagne","?",-1,-1,06-janv.-08,,
"699-1",,,,-1,-1,04-oct.-07,-1,"Manquent détails (résumé possésé seulement)"
"6996-1","Allergie à la jujube chez une infirmière allergique au latex","Italie","1",-1,0,28-juil.-07,,
"7-1",,,,-1,-1,26-août-07,-1,"Pas de RC testée ou méthodologie non conforme"
"7052-1",,,,-1,-1,03-août-07,-1,"Manquent détails (résumé possésé seulement)"
"707-1",,,,-1,-1,24-oct.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"7072-1","Sujets avec double positivité Vespula et abeille, sans réactivité CCD","Allemagne","29",-1,-1,17-juil.-07,,
"709-1","Polliniques aux graminées avec TC négatif mais RAST positif arachide","Pays-Bas","3",-1,-1,01-déc.-09,,
"7133-1",,,,-1,-1,18-sept.-09,-1,"Manquent détails"
"7140-1","Allergiques aux lentilles","Espagne","25",-1,0,31-oct.-07,,
"7143-1","Enfants CAP positifs pollen et farine de blé","Norvège","4",-1,-1,12-août-07,,
